microtraithmm-name	db_xref-ec_tc	db_xref-kegg	microtraithmm-description
opuBD	3.A.1.12.10_Q87WH4;3.A.1.12.11_Q8Q042;3.A.1.12.11_Q8Q043;3.A.1.12.14_Q8ZPK1;3.A.1.12.14_Q8ZPK3;3.A.1.12.15_P33359;3.A.1.12.15_P33361;3.A.1.12.4_O34742;3.A.1.12.4_O34878;3.A.1.12.8_Q93A34	K05846	osmoprotectant transport system permease protein
opuA	3.A.1.12.10_Q87WH5;3.A.1.12.11_Q8Q041;3.A.1.12.14_Q8ZPK4;3.A.1.12.15_P33360;3.A.1.12.4_O34992;3.A.1.12.8_Q93A35	K05847	osmoprotectant transport system ATP-binding protein
oppA1	3.A.1.5.18_O31315;3.A.1.5.18_O50927;3.A.1.5.18_O51307;3.A.1.5.18_O51308;3.A.1.5.18_O54584;3.A.1.5.19_Q2FZR3;3.A.1.5.1_P06202;3.A.1.5.1_P77348;3.A.1.5.25_Q64K09;3.A.1.5.25_Q9CIL2;3.A.1.5.37_B1W1M2;3.A.1.5.41_P23843;3.A.1.5.41_P77348;3.A.1.5.41_Q46863	K15580	oligopeptide transport system substrate-binding protein
oppB1	3.A.1.5.18_O31307;3.A.1.5.19_Q2FZR7;3.A.1.5.1_P08005;3.A.1.5.25_Q9CIL1;3.A.1.5.37_B1W1M1;3.A.1.5.41_P0AFH2	K15581	oligopeptide transport system permease protein
oppC1	3.A.1.5.18_O51310;3.A.1.5.19_Q2FZR6;3.A.1.5.1_P08006;3.A.1.5.25_Q9CIL0;3.A.1.5.37_B1W1M0;3.A.1.5.41_P0AFH6	K15582	oligopeptide transport system permease protein
oppD1	3.A.1.5.18_O31309;3.A.1.5.19_Q2FZR5;3.A.1.5.1_P04285;3.A.1.5.20_P42064;3.A.1.5.25_Q9CIK9;3.A.1.5.37_B1W1L9;3.A.1.5.41_P76027	K15583	oligopeptide transport system ATP-binding protein
oppF1	3.A.1.5.18_O31310;3.A.1.5.19_Q2FZR4;3.A.1.5.1_P08007;3.A.1.5.20_P42065;3.A.1.5.25_Q9CIK8;3.A.1.5.37_B1W1L8;3.A.1.5.41_P77737	K10823	oligopeptide transport system ATP-binding protein
togT	2.A.2.5.1_Q93KC2	K16210	oligogalacturonide transporter
togB	3.A.1.1.11_Q93KB7	K10192	oligogalacturonide transport system substrate-binding protein
togN	3.A.1.1.11_Q93KB9	K10194	oligogalacturonide transport system permease protein
togM	3.A.1.1.11_Q93KC0	K10193	oligogalacturonide transport system permease protein
togA	3.A.1.1.11_Q93KB8	K10195	oligogalacturonide transport system ATP-binding protein
oleC5	3.A.1.105.2	K18233	oleandomycin transport system permease protein
oleC4	3.A.1.105.2	K18232	oleandomycin transport system ATP-binding protein
ogdh	1.2.4.2	K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2] 
occT	3.A.1.3.5;3.A.1.3.6	K10018	octopine/nopaline transport system substrate-binding protein
occM	3.A.1.3.23_Q9HU29	K10019	octopine/nopaline transport system permease protein
occQ	3.A.1.3.5;3.A.1.3.6	K10020	octopine/nopaline transport system permease protein
occP	3.A.1.3.23_Q9HU32	K10021	octopine/nopaline transport system ATP-binding protein [EC:3.6.3.-]
metZ	2.5.1.-	K10764	O-succinylhomoserine sulfhydrylase [EC:2.5.1.-] 
eamA	2.A.7.3.2_P31125	K15268	O-acetylserine/cysteine efflux transporter
tsx	1.B.10.1.1_P0A927	K05517	nucleoside-specific channel-forming protein
nupC	2.A.41.1.1_P0AFF2;2.A.41.1.2_P39141	K11535	nucleoside transport protein
nupX	2.A.41.2.10_P33021	K16325	nucleoside permease
tc.ncs2	2.A.40.2.1_P50487	K03458	nucleobase:cation symporter-2, NCS2 family
tc.ncs1	2.A.39.5.1_Q082R8;2.A.39.1.5_P94369;2.A.39.3.12_V9SBV7	K03457	nucleobase:cation symporter-1, NCS1 family
ribS	3.A.1.17.11_D1CEG8;3.A.1.17.14_A9WGD2;3.A.1.17.7_A7NLS2	K02051	NitT/TauT family transport system substrate-binding protein
ribP	3.A.1.17.11_D1CEG9;3.A.1.17.14_A9WGD1;3.A.1.17.7_A7NLS3	K02050	NitT/TauT family transport system permease protein
nosZ	1.7.2.4	K00376	nitrous-oxide reductase [EC:1.7.2.4]
nifW		K02595	nitrogenase-stabilizing/protective protein
nifK	1.18.6.1	K02591	nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]
nifD	1.18.6.1	K02586	nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]
nifH		K02588	nitrogenase iron protein NifH
anfG	1.18.6.1	K00531	nitrogenase delta subunit [EC:1.18.6.1]
nifZ		K02597	nitrogen fixation protein NifZ
nifX		K02596	nitrogen fixation protein NifX
nirC	1.A.16.3	K02598	nitrite transporter NirC
nirS	1.7.2.1;1.7.99.1	K15864	nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]
nirK	1.7.2.1	K00368	nitrite reductase (NO-forming) [EC:1.7.2.1]
nirD	1.7.1.15	K00363	nitrite reductase (NADH) small subunit [EC:1.7.1.15]
nirB	1.7.1.15	K00362	nitrite reductase (NADH) large subunit [EC:1.7.1.15]
nit6	1.7.1.4	K17877	nitrite reductase (NAD(P)H) [EC:1.7.1.4]
nrfA	1.7.2.2	K03385	nitrite reductase (cytochrome c-552) [EC:1.7.2.2]
norC		K02305	nitric oxide reductase subunit C
norB	1.7.2.5	K04561	nitric oxide reductase subunit B [EC:1.7.2.5]
norW	1.18.1.-	K12265	nitric oxide reductase FlRd-NAD(+) reductase [EC:1.18.1.-]
nrtA	3.A.1.16.1;3.A.1.16.2	K15576	nitrate/nitrite transport system substrate-binding protein
nrtB	3.A.1.16.1;3.A.1.16.2	K15577	nitrate/nitrite transport system permease protein
nrtC	3.A.1.16.1	K15578	nitrate/nitrite transport system ATP-binding protein [EC:3.6.3.-]
nrtD	3.A.1.16.1;3.A.1.16.2	K15579	nitrate/nitrite transport system ATP-binding protein
narJ		K00373	nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW
narI	1.7.5.1;1.7.99.-	K00374	nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]
narH	1.7.5.1;1.7.99.-	K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]
narG	1.7.5.1;1.7.99.-	K00370	nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]
nr	1.7.1.1;1.7.1.2;1.7.1.3	K10534	nitrate reductase (NAD(P)H) [EC:1.7.1.1 1.7.1.2 1.7.1.3]
pnuC	4.B.1.1.1_P24520;4.B.1.1.2_Q4QLL1;4.B.1.1.3_Q9EWJ7;4.B.1.1.5_Q8NU75;4.B.1.1.6_Q837U1	K03811	nicotinamide mononucleotide transporter
rcnA	2.A.52.2	K08970	nickel/cobalt exporter
nikA	3.A.1.5.3;3.A.1.5.33;3.A.1.5.40;3.A.1.5.43	K15584	nickel transport system substrate-binding protein
nikB	3.A.1.5.3;3.A.1.5.33;3.A.1.5.40;3.A.1.5.43	K15585	nickel transport system permease protein
nikC	3.A.1.5.3;3.A.1.5.33;3.A.1.5.40;3.A.1.5.43	K15586	nickel transport system permease protein
nikD	3.A.1.5.3;3.A.1.5.33;3.A.1.5.40;3.A.1.5.43	K15587	nickel transport system ATP-binding protein [EC:3.6.3.24]
nikE	3.A.1.5.3;3.A.1.5.33;3.A.1.5.40;3.A.1.5.43	K10824	nickel transport system ATP-binding protein [EC:3.6.3.24]
cbiL		K16915	nickel transport protein
cbiK	3.A.1.22	K10094	nickel transport protein
niaX	2.A.88.5.1_Q99Z31;2.A.88.5.2_A2RKV5	K16788	niacin transporter
natB1	3.A.1.4.2_Q55387	K11954	neutral amino acid transport system substrate-binding protein
natD1	3.A.1.4.2_P74318	K11956	neutral amino acid transport system permease protein
natC	3.A.1.4.2_P74455	K11955	neutral amino acid transport system permease protein
natE	3.A.1.4.2_P73650	K11958	neutral amino acid transport system ATP-binding protein
natA1	3.A.1.4.2_Q55164	K11957	neutral amino acid transport system ATP-binding protein
tc.nss	2.A.22.4.1_O50649;2.A.22.4.3_Q8NRL8;2.A.22.5.2_Q8RHM5	K03308	neurotransmitter:Na+ symporter, NSS family
hndD	1.12.1.3	K18332	NADP-reducing hydrogenase subunit HndD [EC:1.12.1.3]
hndC	1.12.1.3	K18331	NADP-reducing hydrogenase subunit HndC [EC:1.12.1.3]
hndB	1.12.1.3	K17992	NADP-reducing hydrogenase subunit HndB [EC:1.12.1.3]
hndA	1.12.1.3	K18330	NADP-reducing hydrogenase subunit HndA [EC:1.12.1.3]
nuoN	7.1.1.2	K00343	NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]
nuoM	7.1.1.2	K00342	NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]
nuoLM	7.1.1.2	K15863	NADH-quinone oxidoreductase subunit L/M [EC:7.1.1.2]
nuoL	7.1.1.2	K00341	NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]
nuoK	7.1.1.2	K00340	NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]
nuoJ	7.1.1.2	K00339	NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]
nuoI	7.1.1.2	K00338	NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]
nuoH	7.1.1.2	K00337	NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]
nuoG	7.1.1.2	K00336	NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]
nuoF	7.1.1.2	K00335	NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]
nuoE	7.1.1.2	K00334	NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]
nuoD	7.1.1.2	K00333	NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]
nuoCD	7.1.1.2	K13378	NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.2]
nuoC	7.1.1.2	K00332	NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]
nuoBCD	7.1.1.2	K13380	NADH-quinone oxidoreductase subunit B/C/D [EC:7.1.1.2]
nuoB	7.1.1.2	K00331	NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]
nuoA	7.1.1.2	K00330	NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]
frd.NADHE		K18560	NADH-dependent fumarate reductase subunit E 
frd.NADHD		K18559	NADH-dependent fumarate reductase subunit D 
frd.NADHC		K18558	NADH-dependent fumarate reductase subunit C 
frd.NADHB	1.3.1.6	K18557	NADH-dependent fumarate reductase subunit B [EC:1.3.1.6] 
frd.NADHA	1.3.1.6	K18556	NADH-dependent fumarate reductase subunit A [EC:1.3.1.6] 
ndhN	7.1.1.2	K05585	NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]
ndhM	7.1.1.2	K05584	NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2]
ndhL	7.1.1.2	K05583	NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2]
ndhK	7.1.1.2	K05582	NAD(P)H-quinone oxidoreductase subunit K [EC:7.1.1.2]
ndhJ	7.1.1.2	K05581	NAD(P)H-quinone oxidoreductase subunit J [EC:7.1.1.2]
ndhI	7.1.1.2	K05580	NAD(P)H-quinone oxidoreductase subunit I [EC:7.1.1.2]
ndhH	7.1.1.2	K05579	NAD(P)H-quinone oxidoreductase subunit H [EC:7.1.1.2]
ndhG	7.1.1.2	K05578	NAD(P)H-quinone oxidoreductase subunit 6 [EC:7.1.1.2]
ndhF	7.1.1.2	K05577	NAD(P)H-quinone oxidoreductase subunit 5 [EC:7.1.1.2]
ndhE	7.1.1.2	K05576	NAD(P)H-quinone oxidoreductase subunit 4L [EC:7.1.1.2]
ndhD	7.1.1.2	K05575	NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2]
ndhC	7.1.1.2	K05574	NAD(P)H-quinone oxidoreductase subunit 3 [EC:7.1.1.2]
ndhB	7.1.1.2	K05573	NAD(P)H-quinone oxidoreductase subunit 2 [EC:7.1.1.2]
ndhA	7.1.1.2	K05572	NAD(P)H-quinone oxidoreductase subunit 1 [EC:7.1.1.2]
nhaC	2.A.35.1.2_P54571;2.A.35.1.3_Q838N7;2.A.35.1.4_B0R9X2	K03315	Na+:H+ antiporter, NhaC family
nhaB	2.A.34.1	K03314	Na+:H+ antiporter, NhaB family
nhaA	2.A.33.1	K03313	Na+:H+ antiporter, NhaA family
nqrF	7.2.1.1	K00351	Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:7.2.1.1]
nqrE	7.2.1.1	K00350	Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:7.2.1.1]
nqrD	7.2.1.1	K00349	Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:7.2.1.1]
nqrC	7.2.1.1	K00348	Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:7.2.1.1]
nqrB	7.2.1.1	K00347	Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:7.2.1.1]
nqrA	7.2.1.1	K00346	Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:7.2.1.1]
rnfG		K03612	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit G
rnfE		K03613	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit E
rnfD	7.2.1.2	K03614	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit D [EC:7.2.1.2]
rnfC	7.2.1.2	K03615	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C [EC:7.2.1.2]
rnfB	7.2.1.2	K03616	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit B [EC:7.2.1.2]
rnfA		K03617	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit A
dasA	3.A.1.1.33_Q8KN19	K17329	N,N'-diacetylchitobiose transport system substrate-binding protein
dasC	3.A.1.1.33_Q8KN17	K17331	N,N'-diacetylchitobiose transport system permease protein
dasB	3.A.1.1.33_Q8KN18	K17330	N,N'-diacetylchitobiose transport system permease protein
ngcE	3.A.1.1.18_Q8RJV0	K10200	N-acetylglucosamine transport system substrate-binding protein
ngcG	3.A.1.1.18_Q8RJU8	K10202	N-acetylglucosamine transport system permease protein
ngcF	3.A.1.1.18_Q8RJU9	K10201	N-acetylglucosamine transport system permease protein
mxaL		K16259	mxaL protein 
mxaK		K16258	mxaK protein 
mxaJ		K16254	mxaJ protein 
mxaD		K16260	mxaD protein 
mxaC		K16257	mxaC protein 
mxaA		K16256	mxaA protein 
sugS1	3.A.1.1.31_Q7D8J9;3.A.1.1.41_G4FGN8;3.A.1.1.42_Q9FBS5;3.A.1.1.43_Q9FBS5;3.A.1.1.46_P76042;3.A.1.1.48_D6ZW64;3.A.1.1.7_O51923	K02027	multiple sugar transport system substrate-binding protein
sugP	3.A.1.1.31_O50452;3.A.1.1.37_Q9WYB4;3.A.1.1.41_G4FGN7;3.A.1.1.42_Q9FBS6;3.A.1.1.43_Q9FBS6;3.A.1.1.46_P0AFR7;3.A.1.1.48_D6ZW63;3.A.1.1.7_O51924	K02025	multiple sugar transport system permease protein
sugP1	3.A.1.1.31_O50453;3.A.1.1.41_G4FGN6;3.A.1.1.46_P77716;3.A.1.1.48_D6ZW62;3.A.1.1.7_O51925	K02026	multiple sugar transport system permease protein
malK	3.A.1.1.12_Q9AI63;3.A.1.1.17_Q9R9Q4;3.A.1.1.19_Q8L122;3.A.1.1.1_P68187;3.A.1.1.49_O30494;3.A.1.1.4_Q01937	K10111	multiple sugar transport system ATP-binding protein [EC:3.6.3.-]
msmX	3.A.1.1.14_Q97UF2;3.A.1.1.16_Q8TZQ3;3.A.1.1.22_Q9X103;3.A.1.1.23_P96483;3.A.1.1.24_Q72L52;3.A.1.1.25_Q72L52;3.A.1.1.26_P94360;3.A.1.1.27_Q8DT25;3.A.1.1.28_Q00752;3.A.1.1.30_Q88P35;3.A.1.1.31_O50454;3.A.1.1.32_Q55035;3.A.1.1.33_Q9L0Q1;3.A.1.1.34_O32151;3.A.1.1.34_P94360;3.A.1.1.45_Q8NMV1;3.A.1.1.46_P77481	K10112	multiple sugar transport system ATP-binding protein
marC	2.A.95.1.4_Q8J305;2.A.95.1.6_D3P9M4;2.A.95.1.7_P25743	K05595	multiple antibiotic resistance protein
mdtO	2.A.85.6.1	K15547	multidrug resistance protein MdtO
ebrB	2.A.7.1.6	K11815	multidrug resistance protein EbrB
ebrA	2.A.7.1.6	K11814	multidrug resistance protein EbrA
bpeF	2.A.6.2	K18902	multidrug efflux pump
mdtB	2.A.6.2	K07788	multidrug efflux pump
mdtC	2.A.6.2	K07789	multidrug efflux pump
mdtF	2.A.6.2.13	K18899	multidrug efflux pump
mexD	2.A.6.2.15	K18296	multidrug efflux pump
mexF	2.A.6.2.16	K18299	multidrug efflux pump
mexK	2.A.6.2.17	K18303	multidrug efflux pump
acrF	2.A.6.2.2_P31224	K18142	multidrug efflux pump
mexB	2.A.6.2.2_P31224;2.A.6.2.5_Q51073;2.A.6.2.6_P52002;2.A.6.2.6_P52477;2.A.6.2.9_O52248;2.A.6.2.23_Q6VV68	K18138	multidrug efflux pump
mexY	2.A.6.2.21;2.A.6.2.24	K18095	multidrug efflux pump
triC	2.A.6.2.27	K21134	multidrug efflux pump
vexF	2.A.6.2.30	K18989	multidrug efflux pump
mexI	2.A.6.2.32	K18307	multidrug efflux pump
adeB	2.A.6.2.40	K18146	multidrug efflux pump
smeB	2.A.6.2.41	K18322	multidrug efflux pump
oqxB	2.A.6.2.47	K19585	multidrug efflux pump
acrD	2.A.6.2.7_P24177	K18324	multidrug efflux pump
mnhG	2.A.63.1;2.A.63.2	K05571	multicomponent Na+:H+ antiporter subunit G
mnhF	2.A.63.1;2.A.63.2	K05570	multicomponent Na+:H+ antiporter subunit F
mnhE	2.A.63.1;2.A.63.2	K05569	multicomponent Na+:H+ antiporter subunit E
mnhD	2.A.63.1;2.A.63.2	K05568	multicomponent Na+:H+ antiporter subunit D
mnhC	2.A.63.1;2.A.63.2	K05567	multicomponent Na+:H+ antiporter subunit C
mnhB	2.A.63.1;2.A.63.2	K05566	multicomponent Na+:H+ antiporter subunit B
mnhA	2.A.63.1;2.A.63.2	K05565	multicomponent Na+:H+ antiporter subunit A
phaG	2.A.63.1	K05564	multicomponent K+:H+ antiporter subunit G
phaF	2.A.63.1	K05563	multicomponent K+:H+ antiporter subunit F
phaE	2.A.63.1	K05562	multicomponent K+:H+ antiporter subunit E
phaD	2.A.63.1	K05561	multicomponent K+:H+ antiporter subunit D
phaC	2.A.63.1	K05560	multicomponent K+:H+ antiporter subunit C
phaA	2.A.63.1	K05559	multicomponent K+:H+ antiporter subunit A
mqo	1.1.5.4	K00116	mqo; malate dehydrogenase (quinone) [EC:1.1.5.4] 
ybaL		K03455	monovalent cation:H+ antiporter-2, CPA2 family
mtmC		K16177	monomethylamine corrinoid protein 
wtpA	3.A.1.6.5	K15495	molybdate/tungstate transport system substrate-binding protein
wtpB	3.A.1.6.5	K15496	molybdate/tungstate transport system permease protein
wtpC	3.A.1.6.5	K15497	molybdate/tungstate transport system ATP-binding protein [EC:3.6.3.- 3.6.3.55]
modA	3.A.1.8	K02020	molybdate transport system substrate-binding protein
modB	3.A.1.8	K02018	molybdate transport system permease protein
modC	3.A.1.8	K02017	molybdate transport system ATP-binding protein [EC:3.6.3.29]
modF		K05776	molybdate transport system ATP-binding protein
yqgE	2.A.1.33.1_P54487	K08222	MFS transporter, YQGE family, putative transporter
ynfM	2.A.1.36.1_P43531	K08224	MFS transporter, YNFM family, putative membrane transport protein
xylE	2.A.1.1.3_P0AGF4	K08138	MFS transporter, SP family, xylose:H+ symportor
hxt	2.A.1.1.32_P15729;2.A.1.1.35_Q7BEC4;2.A.1.1.81_Q0SE66	K08139	MFS transporter, SP family, sugar:H+ symporter
iolF	2.A.1.1.74_Q926Q9	K06610	MFS transporter, SP family, inositol transporter
glf	2.A.1.1.4_P21906	K13854	MFS transporter, SP family, glucose uniporter
galP	2.A.1.1.1_P0AEP1;2.A.1.1.2_P0AE24	K08137	MFS transporter, SP family, galactose:H+ symporter
araE	2.A.1.1.2_P0AE24;2.A.1.1.55_P96710	K02100	MFS transporter, SP family, arabinose:H+ symporter
mfs.set	2.A.1.20.1_P31675;2.A.1.20.2_P33026;2.A.1.20.3_P31436;2.A.1.20.4_Q9S3K0	K03291	MFS transporter, SET family, sugar efflux transporter
ydjE	2.A.1.82.4_O34691	K08369	MFS transporter, putative metabolite:H+ symporter
hcaT	2.A.1.65.9_Q45632	K05820	MFS transporter, PPP family, 3-phenylpropionic acid transporter
PHO84	2.A.1.1.15_P95908	K08176	MFS transporter, PHS family, inorganic phosphate transporter
ampG	2.A.1.25.5_G3XCT7	K08218	MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG
uhpC	2.A.1.4.4_P09836;2.A.1.4.6_Q9Z7N9	K07783	MFS transporter, OPA family, sugar phosphate sensor protein UhpC
hpt	2.A.1.4.6_Q9Z7N9	K02445	MFS transporter, OPA family, glycerol-3-phosphate transporter
lacY	2.A.1.5.1_P02920;2.A.1.5.2_P16552;2.A.1.5.3_P30000;2.A.1.5.4_P96517	K02532	MFS transporter, OHS family, lactose permease
oxlT	2.A.1.11.3_P37662	K08177	MFS transporter, OFA family, oxalate/formate antiporter
xapB	2.A.1.10.1_P0AFF4;2.A.1.10.2_P45562	K11537	MFS transporter, NHS family, xanthosine permease
nupG	2.A.1.10.1_P0AFF4	K03289	MFS transporter, NHS family, nucleoside permease
proP	2.A.1.6.4_P0C0L7	K03762	MFS transporter, MHS family, proline/betaine transporter
citA	2.A.1.6.1_P16482;2.A.1.6.7_P0A2G3	K03288	MFS transporter, MHS family, citrate/tricarballylate:H+ symporter
kgtP	2.A.1.6.2_P0AEX3	K03761	MFS transporter, MHS family, alpha-ketoglutarate permease
lplT	2.A.1.42.1_P39196	K08227	MFS transporter, LPLT family, lysophospholipid transporter
glucP	2.A.1.7.10_A1S5F4;2.A.1.7.11_A1S297;2.A.1.7.1_P11551;2.A.1.7.2_P0C105;2.A.1.7.5_Q8XEV7;2.A.1.7.7_O25788	K02429	MFS transporter, FHS family, L-fucose permease
glcT1	2.A.1.7.3_O07563	K08174	MFS transporter, FHS family, glucose/mannose:H+ symporter
entS	2.A.1.38.1_P24077	K08225	MFS transporter, ENTS family, enterobactin (siderophore) exporter
emrY	2.A.1.3.20_Q9RQ29;2.A.1.3.36_C5W789	K03446	MFS transporter, DHA2 family, multidrug resistance protein
mdtD	2.A.1.3.26_P36554	K18326	MFS transporter, DHA2 family, multidrug resistance protein
nepI	2.A.1.2.26_P0ADL1	K03445	MFS transporter, DHA1 family, purine ribonucleoside efflux pump
pbuE	2.A.1.2.25_Q797E3	K18567	MFS transporter, DHA1 family, purine base/nucleoside efflux pump
sotB	2.A.1.2.15_P31122;2.A.1.2.18_Q9S3J9	K08159	MFS transporter, DHA1 family, L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein
cmlA	2.A.1.2.3_P32482	K18552	MFS transporter, DHA1 family, florfenicol/chloramphenicol resistance protein
bica	2.A.1.2.7_P28246	K07552	MFS transporter, DHA1 family, bicyclomycin/chloramphenicol resistance protein
araJ	2.A.1.2.14_P23910	K08156	MFS transporter, DHA1 family, arabinose polymer utilization protein
mfs.cp	2.A.1.17.2_Q04FN1	K03449	MFS transporter, CP family, cyanate transporter
mhpT	2.A.1.15.2_P77589	K05819	MFS transporter, AAHS family, 3-hydroxyphenylpropionic acid transporter
mmtsA	2.1.1.251	K16954	methylthiol:coenzyme M methyltransferase [EC:2.1.1.251] 
epi	5.1.99.1	K05606	methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1] 
mcmA1	5.4.99.2	K01848	methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2] 
mcmA2	5.4.99.2	K01849	methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2] 
mut	5.4.99.2	K01847	methylmalonyl-CoA mutase [EC:5.4.99.2] 
mgdD	1.5.99.5	K22087	methylglutamate dehydrogenase subunit D [EC:1.5.99.5] 
mgdC	1.5.99.5	K22086	methylglutamate dehydrogenase subunit C [EC:1.5.99.5] 
mgdB	1.5.99.5	K22085	methylglutamate dehydrogenase subunit B [EC:1.5.99.5] 
mgdA	1.5.99.5	K22084	methylglutamate dehydrogenase subunit A [EC:1.5.99.5] 
mtd	1.5.98.1	K00319	methylenetetrahydromethanopterin dehydrogenase [EC:1.5.98.1] 
mtdA	1.5.1.5;1.5.1.-	K00300	methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+) [EC:1.5.1.5 1.5.1.-]
metF	1.5.1.20	K00297	methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20] 
folD	1.5.1.5;3.5.4.9	K01491	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]
mtdB	1.5.1.-	K10714	methylene-tetrahydromethanopterin dehydrogenase [EC:1.5.1.-] 
mmtsB		K16955	methylated-thiol--corrinoid protein 
mgsC	2.1.1.21	K22083	methylamine---glutamate N-methyltransferase subunit C [EC:2.1.1.21] 
mgsB	2.1.1.21	K22082	methylamine---glutamate N-methyltransferase subunit B [EC:2.1.1.21] 
mgsA	2.1.1.21	K22081	methylamine---glutamate N-methyltransferase subunit A [EC:2.1.1.21] 
mtmB	2.1.1.248	K16176	methylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.248] 
mauA	1.4.9.1	K15228	methylamine dehydrogenase light chain [EC:1.4.9.1] 
mauB	1.4.9.1	K15229	methylamine dehydrogenase heavy chain [EC:1.4.9.1] 
mglB	3.A.1.2.3_P0AEE5	K10540	methyl-galactoside transport system substrate-binding protein
mglC	3.A.1.2.3_P23200	K10541	methyl-galactoside transport system permease protein
mglA	3.A.1.2.3_P0AAG8	K10542	methyl-galactoside transport system ATP-binding protein [EC:3.6.3.17]
mcrD		K03422	methyl-coenzyme M reductase subunit D 
mcrC		K03421	methyl-coenzyme M reductase subunit C 
mcrG	2.8.4.1	K00402	methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1] 
mcrB	2.8.4.1	K00401	methyl-coenzyme M reductase beta subunit [EC:2.8.4.1] 
mcrA	2.8.4.1	K00399	methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1] 
mcr2		K00400	methyl coenzyme M reductase system, component A2 
mtdch	3.5.4.27	K01499	methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27] 
fchA	3.5.4.9	K01500	methenyltetrahydrofolate cyclohydrolase [EC:3.5.4.9]
vhtA	1.12.98.3	K14068	methanophenazine hydrogenase, large subunit [EC:1.12.98.3]
vhtC	1.12.98.3	K14069	methanophenazine hydrogenase, cytochrome b subunit [EC:1.12.98.3]
vhtG	1.12.98.3	K14070	methanophenazine hydrogenase [EC:1.12.98.3]
mtaB	2.1.1.90	K04480	methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase [EC:2.1.1.90] 
medh	1.1.1.244	K00093	methanol dehydrogenase [EC:1.1.1.244] 
mxaI	1.1.2.7	K14029	methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7] 
mxaF	1.1.2.7	K14028	methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7] 
mtaC		K14081	methanol corrinoid protein 
aksF	1.1.1.87;1.1.1.-	K10978	methanogen homoisocitrate dehydrogenase [EC:1.1.1.87 1.1.1.-] 
aksA	2.3.3.14;2.3.3.-	K10977	methanogen homocitrate synthase [EC:2.3.3.14 2.3.3.-] 
aksE	4.2.1.114	K16793	methanogen homoaconitase small subunit [EC:4.2.1.114] 
